City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Pahrump,US,36.2083,-115.9839,88.25,47,24,5.01,few clouds
295,Sorland,NO,67.667,12.6934,58.86,82,43,11.07,scattered clouds
296,Pimenta Bueno,BR,-11.6725,-61.1936,68.32,50,0,1.63,clear sky
297,Mushie,CD,-3.0167,16.9,75.51,58,38,6.76,scattered clouds
298,Ha Giang,VN,22.8333,104.9833,92.82,57,98,3.42,overcast clouds
299,Lagoa,PT,39.05,-27.9833,72.03,72,0,4.45,clear sky
300,Lasa,IT,46.6166,10.7002,54.36,78,15,5.66,few clouds
301,Auki,SB,-8.7676,160.7034,86.13,62,26,4.7,scattered clouds
302,Rawah,IQ,34.4816,41.9093,96.84,11,4,5.03,clear sky
303,Mareeba,AU,-17.0,145.4333,74.48,71,85,6.69,overcast clouds
304,Okhotsk,RU,59.3833,143.3,58.96,86,100,12.26,overcast clouds
305,Tautira,PF,-17.7333,-149.15,77.47,74,16,23.73,light rain
306,Lidzbark Warminski,PL,54.1259,20.5795,54.93,96,100,9.1,moderate rain
307,Bonavista,CA,48.6499,-53.1147,60.89,85,100,16.11,overcast clouds
308,Dewas,IN,22.9667,76.0667,80.78,70,85,10.63,overcast clouds
309,Qaqortoq,GL,60.7167,-46.0333,42.3,93,42,2.82,scattered clouds
310,Peleduy,RU,59.6289,112.7406,80.24,46,100,0.36,overcast clouds
311,Prince Rupert,CA,54.3161,-130.3201,61.18,96,87,4.14,overcast clouds
312,Ayan,RU,56.45,138.1667,59.29,90,76,11.77,broken clouds
313,West Chester,US,39.9607,-75.6055,74.39,84,0,0.0,clear sky
314,Olinda,BR,-8.0089,-34.8553,74.93,88,75,0.0,broken clouds
315,Plastun,RU,44.7561,136.2939,87.55,56,100,4.63,overcast clouds
316,Montreal,CA,45.5088,-73.5878,66.0,82,2,5.32,clear sky
317,Jacareacanga,BR,-6.2222,-57.7528,78.33,58,92,3.42,overcast clouds
318,Otofuke,JP,42.9917,143.2003,85.03,71,99,16.06,overcast clouds
319,Laguna,US,38.421,-121.4238,79.45,70,0,12.66,clear sky
320,Yuxia,CN,34.0615,108.6291,88.41,56,8,6.55,clear sky
321,Saint-Augustin,CA,51.226,-58.6502,59.95,90,34,10.02,scattered clouds
322,Nara,JP,34.6851,135.8049,98.49,28,69,7.34,broken clouds
323,North Myrtle Beach,US,33.816,-78.68,80.11,93,40,3.44,scattered clouds
